Transaction_ID,Date,Region,Customer_Age,Ads_Spend,Sales
63,2024-03-03,North,63.0,614.08,1877.17
64,2024-03-04,North,60.0,4831.92,17059.14
65,2024-03-05,East,29.0,4261.91,15154.5
66,2024-03-06,South,43.0,3631.88,14352.63
67,2024-03-07,West,30.0,2340.29,8242.7
68,2024-03-08,North,57.0,1279.82,5270.76
69,2024-03-09,West,35.0,1203.97,5052.2
70,2024-03-10,South,42.0,1626.09,7465.46
71,2024-03-11,South,50.0,2971.52,10432.63
72,2024-03-12,South,64.0,3715.68,13113.4
73,2024-03-13,North,57.0,3470.89,12593.16
74,2024-03-14,South,60.0,1759.7,6780.34
75,2024-03-15,North,29.0,4796.89,15992.91
76,2024-03-16,South,61.0,3820.54,13380.99
77,2024-03-17,West,53.0,2994.59,11441.6
78,2024-03-18,West,21.0,3252.74,10587.57
79,2024-03-19,East,22.0,2388.2,8748.62
80,2024-03-20,West,54.0,1614.79,5607.23
81,2024-03-21,East,25.0,2101.88,8682.04
82,2024-03-22,West,59.0,3910.31,12294.43
83,2024-03-23,North,45.0,564.77,2360.13
84,2024-03-24,West,48.0,1022.33,4573.22
85,2024-03-25,East,26.0,707.01,4514.86
86,2024-03-26,East,46.0,683.28,3133.89
87,2024-03-27,South,31.0,4349.57,14474.47
88,2024-03-28,North,57.0,3666.46,14237.6
89,2024-03-29,West,58.0,2633.78,8269.69
90,2024-03-30,South,39.0,940.25,2249.77
91,2024-03-31,West,28.0,2712.27,10031.28
92,2024-04-01,West,40.0,2630.62,9016.35
93,2024-04-02,South,18.0,1279.41,4277.12
94,2024-04-03,South,63.0,2452.33,9414.15
95,2024-04-04,South,54.0,2293.27,8533.51
96,2024-04-05,South,,3271.33,
97,2024-04-06,South,43.0,3357.92,10721.11
98,2024-04-07,West,63.0,703.87,3950.34
99,2024-04-08,South,,2185.76,8514.58
100,2024-04-09,North,40.0,3316.37,11533.04
101,2024-04-10,East,18.0,2764.11,11322.47
102,2024-04-11,South,57.0,4354.2,14077.39
103,2024-04-12,South,32.0,3464.12,10864.77
104,2024-04-13,West,38.0,1233.2,4392.73
105,2024-04-14,South,64.0,817.56,3579.72
106,2024-04-15,South,26.0,3390.89,12045.51
107,2024-04-16,South,26.0,619.3,2788.77
108,2024-04-17,West,27.0,3135.99,11316.81
109,2024-04-18,South,43.0,4731.04,15138.08
110,2024-04-19,East,58.0,3089.63,12041.84
111,2024-04-20,West,52.0,2246.76,8123.93
112,2024-04-21,East,42.0,3394.8,12757.19
113,2024-04-22,West,43.0,2562.14,9473.02
114,2024-04-23,South,28.0,2955.28,10822.28
115,2024-04-24,East,55.0,4736.59,16612.91
116,2024-04-25,West,19.0,2237.46,8518.04
117,2024-04-26,North,24.0,4825.36,16955.32
118,2024-04-27,South,35.0,4574.08,16700.37
119,2024-04-28,West,44.0,1381.06,5576.61
120,2024-04-29,North,51.0,812.13,4166.01
121,2024-04-30,West,44.0,953.5,3979.41
122,2024-05-01,North,34.0,582.0,4014.49
123,2024-05-02,South,60.0,924.99,3418.86
124,2024-05-03,East,61.0,3573.53,13876.05
125,2024-05-04,North,41.0,820.35,3592.99
126,2024-05-05,West,42.0,1935.39,6048.63
127,2024-05-06,South,24.0,4301.94,14868.69
128,2024-05-07,North,23.0,604.72,2390.27
129,2024-05-08,West,41.0,4165.11,15000.86
130,2024-05-09,West,50.0,1768.35,6136.61
131,2024-05-10,West,46.0,1031.74,3944.63
132,2024-05-11,North,60.0,3635.32,11121.38
133,2024-05-12,North,39.0,3330.24,11294.93
134,2024-05-13,North,43.0,4448.62,13296.49
135,2024-05-14,East,45.0,3807.82,11917.9
136,2024-05-15,North,38.0,4115.66,14778.46
137,2024-05-16,North,24.0,1769.16,7289.94
138,2024-05-17,North,34.0,1298.48,5495.5
139,2024-05-18,East,37.0,3877.77,12635.27
140,2024-05-19,North,58.0,4130.76,14180.25
141,2024-05-20,West,37.0,4957.27,16860.39
142,2024-05-21,North,39.0,2356.78,7615.0
143,2024-05-22,West,45.0,2174.08,9159.78
144,2024-05-23,West,57.0,3993.86,14482.24
145,2024-05-24,West,24.0,2033.62,7330.8
146,2024-05-25,East,18.0,4688.41,16024.41
147,2024-05-26,East,49.0,4362.86,15127.85
148,2024-05-27,East,30.0,2430.47,7144.13
149,2024-05-28,North,47.0,3878.92,13214.8
150,2024-05-29,West,40.0,3895.44,12919.83
151,2024-05-30,East,36.0,964.06,3283.69
152,2024-05-31,East,49.0,4561.49,
153,2024-06-01,North,47.0,2773.64,11313.78
154,2024-06-02,East,46.0,4219.06,15013.66
155,2024-06-03,North,62.0,1940.22,6751.77
156,2024-06-04,South,46.0,4529.85,15953.6
157,2024-06-05,East,,2251.41,9323.99
158,2024-06-06,South,33.0,548.77,3495.77
159,2024-06-07,North,57.0,4574.22,15685.2
160,2024-06-08,West,36.0,910.79,3396.98
161,2024-06-09,East,35.0,1936.91,7756.7
162,2024-06-10,North,18.0,4775.28,16595.68
163,2024-06-11,West,31.0,4777.73,17004.9
164,2024-06-12,West,64.0,3080.47,11365.64
165,2024-06-13,South,,3343.27,12538.1
166,2024-06-14,North,45.0,2518.0,8629.43
167,2024-06-15,West,47.0,1819.45,7876.15
168,2024-06-16,East,55.0,1978.99,7490.85
169,2024-06-17,East,21.0,3526.33,13944.47
170,2024-06-18,South,18.0,3885.69,12882.84
171,2024-06-19,West,25.0,4062.11,15387.51
172,2024-06-20,North,46.0,4053.28,14128.83
173,2024-06-21,East,56.0,910.43,3392.23
174,2024-06-22,West,20.0,2724.89,9332.54
175,2024-06-23,West,49.0,759.01,3172.57
176,2024-06-24,South,27.0,2972.88,10852.55
177,2024-06-25,East,27.0,2486.89,9376.31
178,2024-06-26,East,36.0,4494.67,14923.98
179,2024-06-27,North,63.0,2079.12,7633.69
180,2024-06-28,East,51.0,1026.8,5999.58
181,2024-06-29,North,50.0,1143.46,6041.11
182,2024-06-30,East,40.0,3926.8,13914.81
183,2024-07-01,South,45.0,3281.98,11532.74
184,2024-07-02,East,49.0,955.05,4152.19
185,2024-07-03,North,24.0,878.48,4301.95
186,2024-07-04,North,46.0,3654.36,11875.72
187,2024-07-05,South,25.0,827.43,3441.89
188,2024-07-06,East,18.0,4198.37,13099.92
189,2024-07-07,East,20.0,3678.09,13089.27
190,2024-07-08,South,41.0,866.07,4289.18
191,2024-07-09,East,40.0,881.77,3435.11
192,2024-07-10,East,25.0,4939.88,18066.8
193,2024-07-11,North,64.0,2184.22,
194,2024-07-12,East,54.0,2167.89,6765.75
195,2024-07-13,East,20.0,4157.6,14483.88
196,2024-07-14,South,50.0,4762.62,17078.06
197,2024-07-15,South,45.0,4937.0,18145.56
198,2024-07-16,West,64.0,3890.2,13081.54
199,2024-07-17,North,25.0,2193.17,8881.08
200,2024-07-18,East,51.0,875.75,3771.6
201,2024-07-19,East,52.0,3997.16,13652.81
202,2024-07-20,West,49.0,3012.82,11347.95
203,2024-07-21,East,41.0,2409.0,9230.66
204,2024-07-22,North,31.0,4578.59,14390.39
205,2024-07-23,West,49.0,1000.39,5382.48
206,2024-07-24,North,63.0,2716.81,10797.87
207,2024-07-25,West,,551.09,2263.04
208,2024-07-26,West,33.0,2608.97,9665.36
209,2024-07-27,South,21.0,753.36,3805.99
210,2024-07-28,North,54.0,1034.68,4519.52
211,2024-07-29,East,38.0,1028.87,3852.13
212,2024-07-30,East,31.0,3421.45,11411.33
213,2024-07-31,North,48.0,3857.2,13322.6
214,2024-08-01,East,35.0,3125.16,11938.69
215,2024-08-02,East,24.0,4829.78,16890.16
216,2024-08-03,North,27.0,2186.92,7701.64
217,2024-08-04,West,24.0,1785.7,7331.61
218,2024-08-05,North,50.0,4408.7,12828.99
219,2024-08-06,West,40.0,1506.18,6738.79
220,2024-08-07,East,38.0,4834.5,15078.63
221,2024-08-08,East,36.0,554.7,2485.07
222,2024-08-09,East,36.0,4864.45,15670.52
223,2024-08-10,South,53.0,694.22,2185.76
224,2024-08-11,West,46.0,4510.14,16361.12
225,2024-08-12,South,35.0,2874.65,9824.74
226,2024-08-13,South,19.0,4968.34,17175.9
227,2024-08-14,North,18.0,832.08,3625.13
228,2024-08-15,South,64.0,2992.34,10957.13
229,2024-08-16,North,22.0,4861.86,16619.41
230,2024-08-17,North,37.0,2853.94,9106.22
231,2024-08-18,South,28.0,3332.29,12460.35
232,2024-08-19,West,59.0,3630.87,12223.78
233,2024-08-20,West,19.0,2545.43,7900.13
234,2024-08-21,West,20.0,3324.01,11294.34
235,2024-08-22,West,40.0,3129.41,12214.73
236,2024-08-23,West,29.0,4555.21,16256.85
237,2024-08-24,South,,704.51,2975.51
238,2024-08-25,South,22.0,1764.33,6366.46
239,2024-08-26,East,54.0,4776.85,16028.62
240,2024-08-27,West,55.0,4506.19,17081.2
241,2024-08-28,South,,2550.46,9467.01
242,2024-08-29,East,26.0,3290.6,11873.94
243,2024-08-30,West,51.0,1748.22,7418.52
244,2024-08-31,North,61.0,1346.55,5499.98
245,2024-09-01,East,52.0,2586.64,9070.02
246,2024-09-02,South,39.0,2090.09,7531.19
247,2024-09-03,North,61.0,3126.45,10947.37
248,2024-09-04,North,41.0,849.81,3689.6
249,2024-09-05,North,34.0,4884.78,17213.39
250,2024-09-06,East,27.0,4937.95,16842.99
251,2024-09-07,South,47.0,3641.73,13239.64
252,2024-09-08,North,63.0,2912.43,10255.21
253,2024-09-09,West,40.0,1892.87,7120.11
254,2024-09-10,North,49.0,4162.08,12720.09
255,2024-09-11,North,34.0,3581.29,13193.19
256,2024-09-12,East,34.0,1231.78,5218.87
257,2024-09-13,East,31.0,4599.17,16515.76
258,2024-09-14,South,26.0,4201.42,12127.53
259,2024-09-15,West,57.0,4774.1,17947.82
260,2024-09-16,East,19.0,3765.74,12938.69
261,2024-09-17,North,62.0,3260.37,12319.73
262,2024-09-18,South,,2382.09,7790.77
263,2024-09-19,North,56.0,4697.28,16521.51
264,2024-09-20,North,26.0,4397.29,14228.59
265,2024-09-21,East,39.0,703.48,2752.13
266,2024-09-22,South,60.0,618.65,4510.91
267,2024-09-23,West,63.0,2194.09,7868.53
268,2024-09-24,West,21.0,4147.49,14445.91
269,2024-09-25,East,43.0,4942.74,17512.83
270,2024-09-26,East,46.0,1176.88,5162.55
271,2024-09-27,South,62.0,3173.59,11275.82
272,2024-09-28,West,51.0,2214.01,8376.8
273,2024-09-29,West,40.0,4864.61,18489.5
274,2024-09-30,West,54.0,4289.54,14680.42
275,2024-10-01,North,28.0,4272.48,14832.81
276,2024-10-02,West,23.0,2609.12,10189.71
277,2024-10-03,North,35.0,2366.69,9457.82
278,2024-10-04,South,38.0,1730.33,7486.69
279,2024-10-05,North,59.0,753.69,3922.79
280,2024-10-06,South,53.0,4391.25,14137.6
281,2024-10-07,West,58.0,4158.05,15612.52
282,2024-10-08,West,55.0,4998.73,16078.86
283,2024-10-09,South,51.0,4984.87,17193.68
284,2024-10-10,East,34.0,2999.44,9994.8
285,2024-10-11,South,54.0,3960.44,13622.11
286,2024-10-12,East,42.0,4751.45,16467.64
287,2024-10-13,North,55.0,4323.41,15092.01
288,2024-10-14,North,29.0,1613.07,6499.35
289,2024-10-15,North,40.0,2527.45,10378.8
290,2024-10-16,West,59.0,1081.22,4822.72
291,2024-10-17,North,39.0,4793.23,16143.01
292,2024-10-18,East,38.0,3227.79,12100.18
293,2024-10-19,North,44.0,1528.89,6844.03
294,2024-10-20,South,48.0,3522.65,11290.4
295,2024-10-21,South,23.0,3281.58,11978.97
296,2024-10-22,West,44.0,2111.73,8318.48
297,2024-10-23,South,,1011.01,3997.18
298,2024-10-24,East,51.0,3522.08,13371.22
299,2024-10-25,North,29.0,2841.38,9972.39
300,2024-10-26,West,,3975.43,13821.85
301,2024-10-27,North,24.0,2840.74,9951.9
302,2024-10-28,North,27.0,4334.82,14883.88
303,2024-10-29,East,62.0,2983.58,9670.44
304,2024-10-30,South,34.0,3024.22,9525.47
305,2024-10-31,South,43.0,4444.94,16499.42
306,2024-11-01,North,38.0,2315.67,7732.58
307,2024-11-02,West,45.0,1103.07,3736.71
308,2024-11-03,South,63.0,629.52,1291.76
309,2024-11-04,West,,3898.12,12962.81
310,2024-11-05,South,60.0,3291.39,10473.99
311,2024-11-06,West,,3668.36,14052.36
312,2024-11-07,East,53.0,1458.34,6474.54
313,2024-11-08,West,43.0,1113.67,4013.23
314,2024-11-09,East,46.0,565.45,4611.39
315,2024-11-10,East,38.0,2077.64,8433.87
316,2024-11-11,West,,3154.63,10834.95
317,2024-11-12,East,57.0,2265.1,6248.79
318,2024-11-13,North,28.0,2468.64,10732.39
319,2024-11-14,East,53.0,4568.71,14508.23
320,2024-11-15,South,56.0,2067.15,6298.56
321,2024-11-16,West,57.0,2812.95,10819.5
322,2024-11-17,North,52.0,4026.44,15836.41
323,2024-11-18,West,51.0,2284.44,9417.63
324,2024-11-19,South,64.0,3299.39,12009.18
325,2024-11-20,South,41.0,4380.64,15493.84
326,2024-11-21,South,39.0,4772.84,16955.83
327,2024-11-22,East,22.0,1161.83,5325.0
328,2024-11-23,East,50.0,4669.64,16167.81
329,2024-11-24,West,53.0,2714.52,
330,2024-11-25,West,64.0,1662.1,6268.64
331,2024-11-26,North,37.0,2566.11,8608.38
332,2024-11-27,North,36.0,4910.15,16487.93
333,2024-11-28,West,52.0,2716.78,8339.34
334,2024-11-29,East,60.0,1979.38,7255.35
335,2024-11-30,South,,3350.3,10930.1
336,2024-12-01,West,62.0,1580.66,5175.23
337,2024-12-02,North,60.0,841.38,3836.35
338,2024-12-03,East,51.0,1079.96,5569.47
339,2024-12-04,West,26.0,1076.21,5178.51
340,2024-12-05,West,43.0,1183.56,3531.0
341,2024-12-06,East,19.0,1124.72,3807.41
342,2024-12-07,West,26.0,3383.94,12581.21
343,2024-12-08,East,26.0,1318.46,
344,2024-12-09,South,57.0,2055.5,7397.9
345,2024-12-10,East,34.0,4535.55,15953.79
346,2024-12-11,East,18.0,2632.83,8650.37
347,2024-12-12,East,42.0,3504.01,12297.13
348,2024-12-13,West,60.0,1275.44,4014.19
349,2024-12-14,West,57.0,1365.3,4887.87
350,2024-12-15,East,59.0,683.91,3444.33
351,2024-12-16,West,42.0,1260.21,3758.27
352,2024-12-17,North,56.0,1753.66,6964.08
353,2024-12-18,North,52.0,1296.55,5133.24
354,2024-12-19,West,,899.16,4319.31
355,2024-12-20,West,54.0,1042.86,4516.29
356,2024-12-21,East,61.0,2573.5,10326.53
357,2024-12-22,South,61.0,1428.5,5671.39
358,2024-12-23,West,47.0,2139.21,7501.96
359,2024-12-24,North,55.0,2765.38,9947.05
360,2024-12-25,East,51.0,3606.78,12976.32
361,2024-12-26,West,29.0,676.9,3205.18
362,2024-12-27,North,36.0,4097.35,14143.98
363,2024-12-28,North,54.0,3325.55,11080.17
364,2024-12-29,South,61.0,867.92,3247.01
365,2024-12-30,East,34.0,4431.1,14057.45
366,2024-12-31,East,27.0,4643.93,17260.22
367,2025-01-01,South,64.0,774.85,2484.43
368,2025-01-02,South,29.0,1745.95,6032.71
369,2025-01-03,East,33.0,4127.91,13634.57
370,2025-01-04,East,41.0,3867.17,14090.88
371,2025-01-05,West,,1330.34,5021.14
372,2025-01-06,West,25.0,1442.07,6612.82
373,2025-01-07,South,48.0,2167.12,7396.01
374,2025-01-08,West,38.0,2680.35,
375,2025-01-09,North,34.0,3282.15,10834.59
376,2025-01-10,West,40.0,2160.11,9628.48
377,2025-01-11,West,54.0,2581.41,8310.42
378,2025-01-12,North,33.0,3863.62,13611.44
379,2025-01-13,South,23.0,665.07,3635.26
380,2025-01-14,North,25.0,1635.97,6566.13
381,2025-01-15,West,42.0,3710.07,12724.0
382,2025-01-16,South,35.0,4528.43,15387.12
383,2025-01-17,West,42.0,2802.55,10003.2
384,2025-01-18,North,29.0,2894.51,10144.83
385,2025-01-19,North,32.0,982.27,4914.38
386,2025-01-20,West,43.0,2513.36,10811.16
387,2025-01-21,East,58.0,2896.78,9823.7
388,2025-01-22,East,62.0,1591.12,4995.73
389,2025-01-23,North,43.0,1711.59,6406.48
390,2025-01-24,North,64.0,2197.78,10096.66
391,2025-01-25,East,49.0,590.32,2246.09
392,2025-01-26,East,27.0,1949.36,8549.23
393,2025-01-27,West,33.0,1451.52,6987.01
394,2025-01-28,West,24.0,1973.74,6873.09
395,2025-01-29,East,34.0,1038.93,4779.76
396,2025-01-30,West,40.0,4507.37,16726.31
397,2025-01-31,West,43.0,3171.17,10844.43
398,2025-02-01,South,38.0,3555.96,12216.21
399,2025-02-02,West,39.0,4051.27,13498.72
400,2025-02-03,North,24.0,2742.99,8965.76
401,2025-02-04,West,31.0,891.14,3332.23
402,2025-02-05,West,32.0,2916.98,9355.18
403,2025-02-06,East,,3140.79,11077.78
404,2025-02-07,North,26.0,3854.48,12718.35
405,2025-02-08,West,25.0,2442.47,9002.93
406,2025-02-09,West,,1074.11,3192.44
407,2025-02-10,South,46.0,1776.99,6951.08
408,2025-02-11,West,35.0,2133.87,8495.21
409,2025-02-12,West,48.0,3406.63,10306.22
410,2025-02-13,South,47.0,3068.5,11118.45
411,2025-02-14,East,56.0,2102.44,8709.93
412,2025-02-15,West,52.0,4939.32,15838.11
413,2025-02-16,South,35.0,3225.99,12661.22
414,2025-02-17,North,59.0,1567.52,6351.28
415,2025-02-18,East,56.0,958.02,3501.66
416,2025-02-19,North,34.0,1187.87,4756.56
417,2025-02-20,North,31.0,1606.81,6588.45
418,2025-02-21,South,48.0,1223.07,4974.62
419,2025-02-22,West,41.0,1339.55,5717.57
420,2025-02-23,South,52.0,1782.93,5968.83
421,2025-02-24,South,61.0,1280.18,5232.07
422,2025-02-25,South,62.0,4535.44,14382.45
423,2025-02-26,South,51.0,861.05,3666.39
424,2025-02-27,East,20.0,2860.3,9429.84
425,2025-02-28,West,54.0,2346.79,7921.29
426,2025-03-01,North,60.0,4920.7,17735.13
427,2025-03-02,North,57.0,1004.18,5086.41
428,2025-03-03,West,43.0,2290.35,8816.43
429,2025-03-04,North,40.0,4862.62,15686.52
430,2025-03-05,West,61.0,4394.78,14810.18
431,2025-03-06,North,56.0,4176.82,15336.32
432,2025-03-07,South,32.0,1660.56,6427.17
433,2025-03-08,North,21.0,1268.99,6916.24
434,2025-03-09,West,46.0,3508.89,12543.12
435,2025-03-10,West,39.0,4682.19,16136.65
436,2025-03-11,West,42.0,3005.43,10370.09
437,2025-03-12,West,30.0,3072.26,10938.06
438,2025-03-13,West,35.0,1759.91,6509.72
439,2025-03-14,East,50.0,3962.72,14247.19
440,2025-03-15,East,33.0,1341.7,6058.79
441,2025-03-16,North,,1956.56,6632.19
442,2025-03-17,West,59.0,2414.46,7661.3
443,2025-03-18,North,61.0,2784.25,8440.63
444,2025-03-19,West,,1590.84,6497.09
445,2025-03-20,West,52.0,1016.77,3370.96
446,2025-03-21,East,59.0,3247.79,9670.62
447,2025-03-22,East,51.0,1798.84,7067.14
448,2025-03-23,South,47.0,3115.57,12964.23
449,2025-03-24,East,30.0,1194.63,4817.97
450,2025-03-25,South,30.0,2665.13,10199.21
451,2025-03-26,South,35.0,2896.65,10334.75
452,2025-03-27,South,49.0,733.21,3267.15
453,2025-03-28,South,49.0,2014.72,8182.36
454,2025-03-29,South,52.0,1104.87,4303.35
455,2025-03-30,North,56.0,785.19,3726.51
456,2025-03-31,East,,4954.82,17112.79
457,2025-04-01,South,46.0,1950.59,6707.42
458,2025-04-02,West,46.0,4144.44,15055.83
459,2025-04-03,East,61.0,1645.88,6126.86
460,2025-04-04,East,33.0,3566.76,11809.04
461,2025-04-05,South,61.0,3921.03,13976.49
462,2025-04-06,North,64.0,3180.37,10458.42
463,2025-04-07,South,27.0,2622.09,9413.24
464,2025-04-08,North,47.0,2353.28,8523.21
465,2025-04-09,West,42.0,2069.91,8492.42
466,2025-04-10,East,56.0,4682.88,16364.98
467,2025-04-11,West,37.0,4237.79,14540.9
468,2025-04-12,North,22.0,4842.62,17150.6
469,2025-04-13,North,18.0,1059.34,5502.05
470,2025-04-14,West,47.0,3788.9,13570.74
471,2025-04-15,North,20.0,4722.53,16120.38
472,2025-04-16,West,62.0,1315.55,4160.29
473,2025-04-17,East,31.0,799.23,2705.46
474,2025-04-18,West,,3835.04,13027.96
475,2025-04-19,East,21.0,3085.13,10384.8
476,2025-04-20,West,35.0,4288.23,14572.76
477,2025-04-21,North,54.0,1128.98,4658.04
478,2025-04-22,West,42.0,4078.7,14475.6
479,2025-04-23,North,18.0,1407.32,5447.03
480,2025-04-24,West,63.0,1236.45,5345.85
481,2025-04-25,West,32.0,1239.2,5017.01
482,2025-04-26,South,26.0,4165.59,12749.5
483,2025-04-27,North,32.0,3493.39,11427.37
484,2025-04-28,South,41.0,2853.79,10016.87
485,2025-04-29,North,21.0,2114.74,6799.4
486,2025-04-30,South,29.0,4447.4,15711.63
487,2025-05-01,East,54.0,2266.0,9475.81
488,2025-05-02,West,54.0,4174.7,15334.04
489,2025-05-03,North,60.0,2476.11,8752.79
490,2025-05-04,North,23.0,2196.25,9220.58
491,2025-05-05,West,56.0,2582.06,
492,2025-05-06,North,63.0,1856.2,6670.17
493,2025-05-07,North,,3864.24,12874.85
494,2025-05-08,South,28.0,2762.24,9597.2
495,2025-05-09,North,30.0,1544.96,5633.32
496,2025-05-10,East,51.0,4548.09,15690.21
497,2025-05-11,East,42.0,2227.51,8256.49
498,2025-05-12,West,24.0,2945.99,10429.6
499,2025-05-13,North,21.0,4579.12,16002.75
500,2025-05-14,West,25.0,3309.07,12541.54
